"id";"user_id";"reviewer_id";"title";"category";"aircraft_model";"registration_number";"拍摄时间";"拍摄地点";"filename";"approved";"rejection_reason";"admin_comment";"created_at";"views";"likes";"allow_use";"watermark_size";"watermark_opacity";"watermark_position";"actual_watermark_size";"is_featured";"original_width";"original_height";"final_width";"final_height";"shooting_time";"shooting_location";"Cam";"Lens";"FocalLength";"ISO";"F";"Shutter"
1901;424;427;"雨中华航";"china airlines";"airbus a350-900";"b-18907";"2026-01-10 17:41:00";"CGK";"69621ef8c3b9c_IMG_0590.jpg";1;"";"";"2026-01-10 16:42:18";5;0;1;15;80;"top-left";0;0;6411;3606;3747;2108;"2026-01-10 09:42:18";"";"";"";0;0;0.0;""
1902;424;427;"c909";"transnusa";"C909";"PK-TJC";"2026-01-10 17:44:00";"CGK";"69621f90b0cde_IMG_4509(1)(1)-2.jpg";1;"";"";"2026-01-10 16:44:48";6;0;1;15;80;"top-left";0;0;1280;720;1280;720;"2026-01-10 09:44:48";"";"";"";0;0;0.0;""
1903;424;424;"干地oneword";"japan airlines";"787-9";"JA861J";"2026-01-10 17:45:00";"CGK";"69621fe4afce8_IMG_0118.jpg";1;"";"";"2026-01-10 16:46:14";5;0;1;15;80;"top-left";0;0;6100;3431;3918;2204;"2026-01-10 09:46:14";"";"";"";0;0;0.0;""
1905;93708;426;"REPUBLIK INDONESIA";"Garuda Indonesia";"Boeing777-300ER";"PK-GIG";"2026-01-08 18:59:00";"CGK";"69623114b4e38_IMG_5343-已增强-降噪-2-1.jpg";1;"";"";"2026-01-10 17:59:33";10;1;1;15;80;"bottom-center";0;0;4827;3218;4827;3218;"2026-01-10 10:59:33";"";"";"";0;0;0.0;""
1906;93708;426;"Malaysia Airlines";"Malaysia Airlines";"Boeing 737 800";"9M-MXY";"2026-01-08 19:01:00";"CGK";"69623197a7b8c_MIMG_0305-已增强-降噪-1.jpg";1;"";"";"2026-01-10 18:01:44";11;0;1;15;80;"bottom-center";0;0;6219;4146;6219;4146;"2026-01-10 11:01:44";"";"";"";0;0;0.0;""
1907;93715;429;"国航744黄金光降落";"中国国际航空";"747-400";"B-2472";"2026-01-10 19:48:00";"广州白云国际机场";"69623caaaa1fd_SJJ_2758.jpg";1;"";"";"2026-01-10 18:48:59";9;0;1;12;50;"top-left";0;0;5803;3746;5803;3746;"2026-01-10 11:48:59";"";"";"";0;0;0.0;""
1908;429;426;"飞机";"中国人民解放军空军";"Chengdu J-10";"09";"2025-09-20 19:49:00";"CGQ";"69623ceeb6168_615A8635.jpeg";1;"";"";"2026-01-10 18:50:08";14;0;1;15;80;"top-left";0;1;5658;3774;4192;2796;"2026-01-10 11:50:08";"";"";"";0;0;0.0;""
1909;429;426;"飞机";"中国人民解放军空军";"Chengdu J-20";"63106";"2025-09-20 19:51:00";"CGQ";"69623d6c13abd_615A1636.jpeg";1;"";"";"2026-01-10 18:52:14";7;0;1;15;80;"top-right";0;0;7183;4791;4415;2945;"2026-01-10 11:52:14";"";"";"";0;0;0.0;""
1910;429;426;"飞机";"中国人民解放军空军";"Shenyang J-16";"70201";"2025-09-20 19:53:00";"CGQ";"69623e11bf057_615A1624.jpeg";1;"";"";"2026-01-10 18:55:00";9;0;1;15;80;"top-left";0;0;7648;5101;4890;3261;"2026-01-10 11:55:00";"";"";"";0;0;0.0;""
1911;427;426;"飞机";"中国东方航空";"787-9";"B-209N";"2026-01-10 20:31:00";"ctu";"69624694aa1ba_B209N_PlanespottersNet_1851226.jpg";1;"";"";"2026-01-10 19:31:16";7;0;1;15;80;"bottom-right";0;0;1280;720;1280;720;"2026-01-10 12:31:16";"";"";"";0;0;0.0;""
